input,output
기타선 무등록선박 남해영해 미상 5월 12-16시,침수
어선 경영호 서해영해 1톤미만 3월 8-12시,전복
어선 연화호 서해영해 1톤미만 4월 16-20시,조타장치손상
수상레저기구 고잉메리호 서해영해 미상 5월 16-20시,부유물감김
수상레저기구 맥그리거호 서해영해 미상 6월 16-20시,기관손상
어선 행진2호 서해영해 1톤미만 9월 0-4시,기관손상
어선 수영호 남해영해 1톤미만 6월 4-8시,충돌
어선 화랑호 목포항 및 진입수로 1톤미만 6월 12-16시,침수
어선 송포호 동해영해 1톤미만 7월 8-12시,기관손상
어선 해금호 남해영해 1톤미만 4월 16-20시,기관손상
어선 하해62호 남해영해 1톤미만 10월 12-16시,기관손상
수상레저기구 선명미상 서해영해 미상 6월 4-8시,운항저해
수상레저기구 조운호 서해영해 미상 8월 12-16시,운항저해
어선 동삼3호 남해영해 1톤미만 9월 0-4시,침몰
어선 해광호 동해공해 20~25톤미만 1월 20-24시,충돌
어선 지혜호 남해영해 1톤미만 8월 12-16시,전복
기타선 무등록부선 서해영해 미상 8월 4-8시,화재 · 폭발
어선 승리호 남해영해 1톤미만 11월 12-16시,기관손상
수상레저기구 씨두10호 동해영해 미상 8월 16-20시,충돌
어선 연지호 남해영해 1톤미만 8월 8-12시,안전사고
어선 수덕호 남해영해 1톤미만 9월 8-12시,기관손상
어선 동해호 동해영해 1톤미만 10월 12-16시,전복
어선 혜월호 남해영해 1톤미만 7월 4-8시,침수
어선 한양호 남해영해 1톤미만 9월 4-8시,침수
수상레저기구 광야호 남해영해 미상 8월 16-20시,기관손상
어선 대진호 남해영해 1톤미만 10월 16-20시,기타
수상레저기구 엔에이취호 서해영해 미상 8월 12-16시,기관손상
어선 근성호 남해영해 1톤미만 11월 12-16시,기관손상
수상레저기구 선명미상 남해영해 미상 8월 8-12시,충돌
어선 선양호 남해영해 1톤미만 12월 8-12시,기관손상
수상레저기구 썬크루즈호 서해영해 미상 9월 12-16시,기관손상
수상레저기구 온누리호 서해영해 미상 9월 16-20시,침수
어선 삼강호 동해영해 1톤미만 9월 4-8시,기관손상
어선 남양호 서해영해 1톤미만 10월 4-8시,기타
어선 화성호 서해영해 1톤미만 11월 12-16시,침몰
어선 삼영호 동해영해 1톤미만 10월 12-16시,전복
어선 금오호 서해영해 1톤미만 1월 16-20시,기관손상
기타선 선명 미상 서해영해 미상 9월 20-24시,충돌
수상레저기구 봉강호 서해영해 미상 9월 12-16시,전복
"어선 성림호 울산항(미포만포함), 포항항 1톤미만 4월 4-8시",기관손상
어선 주영호 서해영해 1톤미만 12월 12-16시,침수
어선 무등록선박 남해영해 1톤미만 8월 8-12시,추진축계손상
어선 태영호 기타개항 1톤미만 2월 8-12시,전복
어선 등대호 동해영해 1톤미만 3월 12-16시,충돌
어선 계승호 서해영해 1톤미만 10월 12-16시,운항저해
어선 진영호 남해영해 1톤미만 8월 12-16시,기관손상
어선 순풍호 서해영해 1톤미만 8월 8-12시,기관손상
어선 명성호 서해영해 1톤미만 12월 16-20시,좌초
어선 선명무 서해영해 1~2톤미만 2월 8-12시,안전사고
어선 만성호 부산항 및 진입수로 1톤미만 9월 8-12시,침수
어선 동남호 남해영해 1톤미만 4월 16-20시,침수
어선 종배호 남해영해 1톤미만 12월 20-24시,화재 · 폭발
어선 선명미상 남해영해 1~2톤미만 7월 20-24시,안전사고
수상레저기구 현수호 서해영해 미상 10월 8-12시,기관손상
어선 진전1호 남해영해 1톤미만 11월 12-16시,기관손상
어선 오뚜기호 남해영해 1톤미만 3월 12-16시,침수
수상레저기구 씨방새 서해영해 미상 10월 8-12시,기관손상
어선 남해호 남해영해 1톤미만 6월 8-12시,좌초
어선 조광호 남해영해 1톤미만 8월 4-8시,기관손상
어선 정자호 남해영해 1톤미만 11월 8-12시,충돌
어선 상호호 남해영해 1톤미만 12월 12-16시,기관손상
어선 용산호 남해영해 1톤미만 3월 0-4시,충돌
"어선 상호호 마산항, 진해항, 진해만(가덕수로) 1톤미만 5월 12-16시",부유물감김
어선 상호호 남해영해 1톤미만 2월 12-16시,기관손상
어선 상호호 남해영해 1톤미만 4월 12-16시,부유물감김
수상레저기구 대박호 서해영해 미상 10월 12-16시,추진축계손상
수상레저기구 식스턴호 서해영해 미상 10월 8-12시,기관손상
어선 대양호 서해영해 1톤미만 5월 8-12시,안전사고
어선 도형호 서해영해 1톤미만 5월 8-12시,기관손상
어선 제2명정호 남해영해 1톤미만 8월 16-20시,좌초
수상레저기구 선명무 서해영해 미상 10월 12-16시,부유물감김
수상레저기구 니드호 기타개항 미상 10월 12-16시,기관손상
어선 대성호 남해영해 1톤미만 9월 4-8시,침수
어선 은진호 남해영해 1톤미만 9월 4-8시,안전사고
어선 혜원호 서해영해 1톤미만 9월 4-8시,기관손상
기타선 무등록부선 서해영해 미상 10월 12-16시,화재 · 폭발
어선 승용호 서해영해 1톤미만 8월 8-12시,기관손상
어선 경선호 남해영해 1톤미만 2월 4-8시,침수
수상레저기구 선명무 서해영해 미상 10월 12-16시,충돌
"어선 형통호 울산항(미포만포함), 포항항 1톤미만 4월 12-16시",기관손상
수상레저기구 백상아리호 서해영해 미상 11월 12-16시,운항저해
수상레저기구 물망초호 남해영해 미상 11월 12-16시,기관손상
어선 재순호 남해영해 1톤미만 11월 8-12시,전복
어선 증도호 서해영해 1톤미만 1월 8-12시,기관손상
어선 수진호 서해영해 1톤미만 10월 12-16시,기관손상
"기타선 선명무 장항항,군산항 및 진입수로 미상 11월 12-16시",운항저해
어선 종근2호 서해영해 1톤미만 10월 16-20시,좌초
어선 종근2호 서해영해 1톤미만 11월 4-8시,좌초
어선 제5승진호 동해공해 50~100톤미만 1월 20-24시,충돌
어선 장진호 남해영해 1톤미만 6월 12-16시,기관손상
어선 금수호 서해영해 1톤미만 11월 4-8시,화재 · 폭발
어선 희망호 남해영해 1톤미만 1월 12-16시,기관손상
어선 재성호 부산항 및 진입수로 1톤미만 9월 4-8시,충돌
어선 영철호 남해영해 1톤미만 11월 12-16시,운항저해
어선 위성5호 서해영해 1톤미만 9월 12-16시,기관손상
어선 우선호 남해영해 1톤미만 9월 8-12시,전복
화물선 중국어선 기타 미상 11월 0-4시,충돌
어선 용진호 남해영해 1톤미만 4월 4-8시,추진축계손상
어선 무적호 남해영해 1톤미만 4월 16-20시,침수
어선 선명미상 남해영해 1톤미만 11월 16-20시,운항저해
어선 88스타호 서해영해 1톤미만 3월 4-8시,충돌
어선 덕성1호 서해영해 1톤미만 8월 8-12시,침수
수상레저기구 더 레이건 오프 117호 서해영해 미상 11월 16-20시,침수
어선 명진호 남해영해 1톤미만 8월 8-12시,기관손상
어선 동명호 동해영해 1톤미만 6월 8-12시,기관손상
어선 덕성호 남해영해 1톤미만 6월 12-16시,기관손상
어선 승아2호 목포항 및 진입수로 1톤미만 10월 12-16시,충돌
어선 만성호 남해영해 1톤미만 12월 16-20시,운항저해
어선 선명무 서해영해 1톤미만 9월 4-8시,전복
어선 무등록선박 남해영해 1톤미만 9월 8-12시,해양오염
어선 미정호 남해영해 1톤미만 10월 12-16시,화재 · 폭발
수상레저기구 건승호 남해영해 미상 12월 4-8시,침수
수상레저기구 하얀산호1호 남해영해 미상 1월 16-20시,충돌
어선 연철호 서해영해 1톤미만 10월 12-16시,운항저해
기타선 무등록부선 서해영해 미상 2월 12-16시,화재 · 폭발
수상레저기구 3선영호 남해영해 미상 4월 4-8시,기관손상
어선 옥기호 남해영해 1톤미만 2월 12-16시,기관손상
어선 마리호 서해영해 1톤미만 3월 16-20시,침몰
어선 종환호 서해영해 1톤미만 9월 8-12시,좌초
어선 낚시호 남해영해 1톤미만 11월 12-16시,침몰
수상레저기구 송도제트보트 남해영해 미상 6월 12-16시,기관손상
기타선 무등록선박 서해영해 미상 9월 4-8시,충돌
어선 대원2호 목포항 및 진입수로 1톤미만 3월 4-8시,침수
수상레저기구 에스엘호 남해영해 미상 12월 0-4시,충돌
어선 대영호 동해영해 1톤미만 8월 4-8시,기관손상
"화물선 메이타 마루 부산항 및 진입수로 1,000~5,000톤미만 1월 20-24시",충돌
어선 학세호 남해영해 1톤미만 8월 16-20시,침몰
어선 샤크1호 남해영해 1톤미만 6월 16-20시,기관손상
어선 어성호 서해영해 1톤미만 10월 8-12시,좌초
기타선 동희호 서해영해 미상 1월 12-16시,안전사고
기타선 무등록부선 서해영해 미상 2월 20-24시,화재 · 폭발
수상레저기구 무등록선박 남해영해 미상 3월 12-16시,운항저해
수상레저기구 선명미상 남해영해 미상 3월 16-20시,기관손상
어선 정근호 남해영해 1톤미만 11월 0-4시,침수
어선 경인호 서해영해 1톤미만 2월 12-16시,기관손상
수상레저기구 선명미상 서해영해 미상 4월 16-20시,전복
"어선 3대성호 장항항,군산항 및 진입수로 1톤미만 3월 16-20시",침수
어선 삼엽1호 남해영해 1톤미만 10월 4-8시,전복
어선 우정호 동해영해 1톤미만 3월 4-8시,기관손상
수상레저기구 비봉호 남해영해 미상 6월 12-16시,기관손상
기타선 무등록선박 남해영해 미상 6월 12-16시,충돌
어선 참우정호 남해영해 1톤미만 3월 20-24시,운항저해
수상레저기구 카라3호 동해영해 미상 7월 8-12시,전복
어선 창성호 남해영해 1톤미만 5월 12-16시,기관손상
어선 봉덕2호 남해영해 1톤미만 11월 4-8시,화재 · 폭발
수상레저기구 람보호 남해영해 미상 8월 20-24시,기관손상
기타선 선도호 서해영해 미상 9월 12-16시,운항저해
어선 대인호 남해영해 1톤미만 6월 12-16시,운항저해
기타선 무등록선박 서해영해 미상 9월 16-20시,충돌
어선 상훈호 서해영해 1톤미만 10월 8-12시,전복
수상레저기구 선명미상 남해영해 미상 9월 4-8시,전복
어선 한성호 서해영해 1톤미만 10월 16-20시,좌초
어선 한성호 서해영해 1톤미만 10월 20-24시,기관손상
어선 재웅5호 서해영해 1톤미만 11월 12-16시,침수
어선 동원호 동해영해 1톤미만 5월 4-8시,부유물감김
어선 동해102호 남해영해 1톤미만 9월 8-12시,전복
기타선 무등록선박 남해영해 미상 10월 20-24시,화재 · 폭발
어선 동해16호 부산항 및 진입수로 1톤미만 10월 8-12시,기관손상
수상레저기구 고무보트 남해영해 미상 11월 4-8시,충돌
수상레저기구 두꺼비10호 남해영해 미상 11월 12-16시,충돌
어선 귀복호 목포항 및 진입수로 1톤미만 6월 20-24시,추진축계손상
어선 해성호 남해영해 1톤미만 3월 12-16시,충돌
어선 구사호 서해영해 1톤미만 4월 8-12시,기관손상
어선 신영호 서해영해 1톤미만 9월 4-8시,침몰
어선 지은호 서해영해 1톤미만 9월 4-8시,기관손상
어선 남향호 남해영해 1톤미만 11월 12-16시,좌초
어선 바다호 부산항 및 진입수로 1톤미만 7월 8-12시,전복
어선 상인호 남해영해 1톤미만 11월 4-8시,전복
어선 대어호 동해영해 1톤미만 11월 4-8시,기타
어선 상진호 서해영해 1톤미만 3월 8-12시,기관손상
어선 일흥2호 서해영해 1톤미만 8월 20-24시,기관손상
어선 준호 인천항 및 진입수로 1톤미만 9월 0-4시,기관손상
어선 삼성호 목포항 및 진입수로 1톤미만 9월 0-4시,침수
기타선 선명미상 남해영해 미상 11월 12-16시,화재 · 폭발
어선 금진호 동해영해 1톤미만 11월 4-8시,전복
어선 동일호 부산항 및 진입수로 1톤미만 9월 8-12시,침수
"화물선 퍼시픽 인터그리티 부산항 및 진입수로 20,000~50,000톤미만 1월 20-24시",충돌
"수상레저기구 선창호 제주항, 서귀포항 미상 12월 16-20시",충돌
어선 용복호 남해영해 1톤미만 12월 8-12시,기관손상
어선 거성호 서해영해 1톤미만 3월 4-8시,전복
"수상레저기구 돌또미호 제주항, 서귀포항 미상 12월 16-20시",충돌
어선 제일호 남해영해 1톤미만 8월 20-24시,운항저해
어선 정남호 동해영해 1톤미만 4월 8-12시,침수
어선 영복호 남해영해 1톤미만 7월 12-16시,기관손상
어선 제성호 남해영해 1톤미만 3월 16-20시,좌초
어선 영광호 남해영해 1톤미만 9월 12-16시,기관손상
어선 효성호 남해영해 1톤미만 6월 8-12시,충돌
어선 경율호 서해영해 1톤미만 4월 8-12시,운항저해
어선 영만호 남해영해 1톤미만 7월 16-20시,부유물감김
어선 희정호 남해영해 1톤미만 7월 8-12시,기관손상
어선 정일호 서해영해 1톤미만 9월 8-12시,기관손상
어선 대승호 동해영해 1톤미만 10월 16-20시,침몰
"수상레저기구 이호호 제주항, 서귀포항 미상 12월 16-20시",충돌
어선 강성호 동해영해 1톤미만 10월 8-12시,전복
어선 대영호 남해영해 1톤미만 10월 12-16시,부유물감김
어선 진성호 남해영해 1톤미만 2월 4-8시,충돌
어선 희정호 남해영해 1톤미만 5월 16-20시,부유물감김
어선 수덕호 남해영해 1톤미만 3월 0-4시,기관손상
어선 대성호 남해영해 1톤미만 10월 8-12시,전복
어선 해성3호 남해영해 1톤미만 10월 8-12시,충돌
수상레저기구 뉴월드호 남해영해 미상 12월 12-16시,기관손상
"화물선 레이크 오로라호 부산항 및 진입수로 1,000~5,000톤미만 1월 4-8시",충돌
어선 유니코리아 남해영해 1톤미만 7월 8-12시,전복
어선 남양호 서해영해 1톤미만 9월 12-16시,기관손상
"화물선 바실리 폴레쉬척 부산항 및 진입수로 10,000~20,000톤미만 1월 4-8시",충돌
어선 용암호 동해영해 1톤미만 5월 16-20시,침수
"어선 시만호 동해항, 묵호항, 속초항, 삼척항 1톤미만 7월 0-4시",화재 · 폭발
어선 만성호 서해영해 1톤미만 4월 4-8시,운항저해
어선 해성호 남해영해 1톤미만 4월 12-16시,기관손상
어선 점보호 남해영해 1톤미만 1월 8-12시,기관손상
어선 명성호 동해영해 1톤미만 12월 8-12시,충돌
어선 영호 남해영해 1톤미만 7월 12-16시,전복
"어선 점보호 제주항, 서귀포항 1톤미만 9월 16-20시",전복
어선 경룡호 서해영해 1톤미만 11월 4-8시,화재 · 폭발
어선 슬기호 서해영해 1톤미만 9월 4-8시,침몰
어선 월명호 남해영해 1톤미만 1월 12-16시,좌초
수상레저기구 제로니모호 남해영해 미상 6월 8-12시,기관손상
어선 해동호 동해영해 1톤미만 9월 12-16시,전복
어선 성공호 동해영해 1톤미만 1월 4-8시,부유물감김
어선 금양호 서해영해 1톤미만 6월 16-20시,좌초
어선 초완도호 남해영해 1톤미만 9월 16-20시,기관손상
어선 동용호 남해영해 1톤미만 10월 0-4시,기관손상
어선 한려88호 남해영해 20~25톤미만 1월 4-8시,충돌
어선 지혜호 서해영해 1톤미만 3월 0-4시,화재 · 폭발
어선 일건호 남해영해 1톤미만 1월 16-20시,기관손상
"어선 명진호 여수항, 광양항 및 진입수로 1톤미만 3월 0-4시",접촉
어선 블루윙호 남해영해 1톤미만 2월 16-20시,기관손상
어선 영흥호 동해영해 1톤미만 8월 4-8시,충돌
어선 월평호 서해영해 1톤미만 6월 20-24시,기관손상
수상레저기구 베니스호 서해영해 미상 9월 8-12시,추진축계손상
어선 만성호 서해영해 1톤미만 8월 8-12시,기관손상
어선 영풍호 서해영해 1톤미만 10월 0-4시,침수
어선 선명미상 남해영해 1~2톤미만 8월 8-12시,안전사고
수상레저기구 한강호 서해영해 미상 9월 8-12시,추진축계손상
어선 동현호 서해영해 1톤미만 3월 16-20시,기관손상
어선 해운호 서해영해 1톤미만 7월 8-12시,운항저해
어선 유달호 서해영해 1톤미만 9월 4-8시,기관손상
기타선 미상 서해영해 미상 10월 16-20시,화재 · 폭발
어선 갑성호 남해영해 1톤미만 1월 12-16시,기관손상
어선 형제호 남해영해 1톤미만 5월 8-12시,기관손상
어선 한일호 서해영해 1톤미만 6월 8-12시,충돌
어선 한양호 남해영해 50~100톤미만 1월 4-8시,충돌
어선 광영호 서해영해 1톤미만 8월 16-20시,좌초
어선 해군호 서해영해 1톤미만 9월 12-16시,전복
"어선 재덕호 울산항(미포만포함), 포항항 1톤미만 9월 12-16시",침몰
어선 제105명랑호 동해공해 20~25톤미만 1월 12-16시,충돌
어선 왕성호 남해영해 1톤미만 8월 12-16시,충돌
수상레저기구 효동호 서해영해 미상 9월 12-16시,추진축계손상
어선 진해116호 남해영해 1톤미만 11월 8-12시,전복
어선 천안호 남해영해 1톤미만 4월 16-20시,전복
어선 왕성호 남해영해 1톤미만 3월 8-12시,기관손상
기타선 선명무 서해영해 미상 10월 12-16시,운항저해
어선 성진호 남해영해 1톤미만 7월 20-24시,기관손상
어선 기동호 목포항 및 진입수로 1톤미만 2월 8-12시,전복
어선 신영호 남해영해 1톤미만 9월 8-12시,기관손상
어선 2삼일호 동해영해 1톤미만 10월 8-12시,전복
수상레저기구 선명무 서해영해 미상 9월 12-16시,추진축계손상
어선 해룡호 남해영해 1톤미만 4월 16-20시,침수
어선 중앙호 남해영해 1톤미만 4월 16-20시,침수
어선 해영호 서해영해 1~2톤미만 1월 12-16시,안전사고
어선 금영호 남해영해 1톤미만 9월 16-20시,부유물감김
수상레저기구 사하라2호 서해영해 미상 9월 8-12시,추진축계손상
수상레저기구 어피쉬헌터 남해영해 미상 9월 8-12시,기관손상
어선 청봉호 남해영해 1톤미만 2월 12-16시,좌초
어선 등대호 서해영해 1톤미만 7월 4-8시,기관손상
"어선 수진호 장항항,군산항 및 진입수로 1톤미만 7월 8-12시",침수
어선 금진호 서해영해 1톤미만 9월 8-12시,전복
어선 명수호 남해영해 1톤미만 3월 4-8시,좌초
어선 해성호 대산항 및 진입수로 1톤미만 8월 4-8시,전복
어선 제3대동호 동해영해 1톤미만 4월 20-24시,화재 · 폭발
어선 영찬호 남해영해 1톤미만 7월 4-8시,조타장치손상
어선 민우호 남해영해 1톤미만 12월 12-16시,전복
어선 1명복호 동해영해 1톤미만 3월 8-12시,전복
어선 남용호 서해영해 1톤미만 4월 12-16시,충돌
어선 동운호 부산항 및 진입수로 1~2톤미만 10월 16-20시,안전사고
화물선 글로벌호프호 서해공해 미상 10월 0-4시,안전사고
어선 선명미상 남해영해 1~2톤미만 4월 16-20시,침수
어선 윤성호 남해영해 1~2톤미만 5월 0-4시,침수
어선 거북호 남해영해 1~2톤미만 5월 16-20시,운항저해
어선 혜연호 남해영해 1~2톤미만 10월 8-12시,안전사고
"어선 해밀턴 제트(Hamilton jet) 마산항, 진해항, 진해만(가덕수로) 1~2톤미만 7월 8-12시",침수
어선 철영호 동해영해 1~2톤미만 1월 8-12시,안전사고
수상레저기구 폴라리스 서해영해 미상 12월 8-12시,기관손상
수상레저기구 선명미상 인천항 및 진입수로 미상 10월 8-12시,추진축계손상
어선 성일호(무등록선박) 남해영해 1~2톤미만 9월 16-20시,기관손상
어선 성남호(무등록선박) 남해영해 1~2톤미만 9월 16-20시,기관손상
어선 현일호 남해영해 1~2톤미만 9월 16-20시,기관손상
어선 선명미상 남해영해 1~2톤미만 9월 16-20시,부유물감김
어선 선명미상 부산항 및 진입수로 1~2톤미만 10월 16-20시,전복
어선 선명미상 남해영해 1~2톤미만 10월 8-12시,침수
어선 선명미상(무등록선박) 남해영해 1~2톤미만 11월 16-20시,전복
수상레저기구 불사조호 서해영해 1톤미만 10월 12-16시,추진축계손상
어선 월성호 동해영해 1~2톤미만 9월 12-16시,해양오염
수상레저기구 효동호 서해영해 1톤미만 11월 8-12시,추진축계손상
어선 수성호 서해영해 1~2톤미만 4월 8-12시,안전사고
어선 종희호 남해영해 1~2톤미만 10월 4-8시,충돌
어선 신양호 동해영해 1~2톤미만 10월 4-8시,침수
어선 무등록선박 남해영해 1~2톤미만 11월 4-8시,충돌
수상레저기구 제우스호 서해영해 1톤미만 6월 4-8시,기관손상
어선 무등록선박 남해영해 1~2톤미만 11월 12-16시,충돌
어선 무등록선박 기타개항 1~2톤미만 12월 12-16시,침수
수상레저기구 불사조호 인천항 및 진입수로 1톤미만 11월 16-20시,기관손상
수상레저기구 선명무 서해영해 1톤미만 10월 12-16시,운항저해
어선 해군호 남해영해 1~2톤미만 11월 4-8시,안전사고
어선 무등록선박 남해영해 1~2톤미만 12월 16-20시,충돌
어선 선명미상 서해영해 1~2톤미만 1월 20-24시,전복
어선 월성호 동해영해 1~2톤미만 2월 8-12시,운항저해
수상레저기구 돌섬호 서해영해 1톤미만 9월 4-8시,전복
수상레저기구 전투낚시호 기타개항 1톤미만 6월 12-16시,운항저해
수상레저기구 제이앤씨호 서해영해 1톤미만 7월 4-8시,추진축계손상
어선 성광호 남해영해 1~2톤미만 4월 12-16시,기관손상
"어선 선명무 평택항, 당진항 1~2톤미만 4월 16-20시",전복
어선 전남저널호 남해영해 1~2톤미만 4월 16-20시,부유물감김
어선 수영호 남해영해 1~2톤미만 3월 8-12시,안전사고
어선 무등록선 서해영해 1~2톤미만 6월 0-4시,화재 · 폭발
"유조선 발로 동해공해 10,000~20,000톤미만 1월 12-16시",충돌
수상레저기구 피싱캣호 서해영해 1톤미만 5월 16-20시,운항저해
